Date,Open,High,Low,Close,Adj Close,Volume
2016-10-17,197.250000,198.300003,196.229996,197.490005,145.070770,1014500
2016-10-18,198.440002,199.690002,197.820007,198.440002,145.768600,855900
2016-10-19,198.330002,198.740005,195.100006,198.460007,145.783279,1409700
2016-10-20,199.000000,199.139999,196.320007,197.259995,144.901855,1241800
2016-10-21,195.789993,196.899994,195.039993,196.550003,144.380234,872100
2016-10-24,197.679993,199.190002,196.000000,197.009995,144.718155,1030400
2016-10-25,196.339996,197.699997,195.820007,197.270004,144.909119,1035700
2016-10-26,195.110001,196.070007,187.479996,188.380005,138.378799,2676100
2016-10-27,188.149994,188.160004,181.850006,183.229996,134.595764,3726600
2016-10-28,184.229996,186.029999,182.029999,182.880005,134.338684,1694000
2016-10-31,184.270004,186.330002,182.880005,185.960007,136.601151,1932800
2016-11-01,184.990005,185.479996,181.639999,183.250000,134.610458,1861200
2016-11-02,183.610001,184.220001,179.649994,179.679993,131.988007,1662400
2016-11-03,179.610001,180.610001,178.110001,179.330002,131.730927,1118900
2016-11-04,180.119995,180.520004,178.529999,180.279999,132.428741,1662700
2016-11-07,182.979996,183.610001,180.789993,181.929993,133.640808,1082700
2016-11-08,182.309998,183.889999,181.000000,183.250000,134.610458,874100
2016-11-09,180.139999,181.699997,174.910004,180.779999,132.796066,2099600
2016-11-10,181.320007,186.470001,176.679993,182.289993,133.905289,3137400
2016-11-11,182.250000,184.949997,181.979996,182.610001,134.140305,1795200
2016-11-14,181.279999,186.330002,179.199997,185.589996,137.572388,1786900
2016-11-15,186.429993,189.250000,182.800003,184.229996,136.564240,2468600
2016-11-16,184.600006,185.229996,181.830002,182.940002,135.608063,1030500
2016-11-17,182.759995,183.960007,180.130005,180.679993,133.932770,1090800
2016-11-18,180.559998,181.750000,179.160004,180.830002,134.043961,1369300
2016-11-21,181.179993,182.970001,179.369995,179.679993,133.191467,1006600
2016-11-22,180.600006,181.979996,180.139999,181.580002,134.599884,1068300
2016-11-23,180.199997,180.949997,178.050003,180.759995,133.992004,1102500
2016-11-25,181.740005,182.990005,180.350006,181.300003,134.392349,490900
2016-11-28,180.639999,182.949997,180.070007,181.330002,134.414581,1398200
2016-11-29,181.949997,184.149994,181.350006,182.300003,135.133606,1346900
2016-11-30,180.380005,181.610001,178.419998,179.649994,133.169220,2234500
2016-12-01,178.919998,179.380005,175.869995,176.820007,131.071472,2075900
2016-12-02,177.570007,180.789993,177.419998,179.360001,132.954254,1273900
2016-12-05,179.509995,180.809998,178.029999,180.759995,133.992004,1027300
2016-12-06,180.779999,182.139999,179.130005,180.110001,133.510223,1202000
2016-12-07,180.699997,183.759995,180.509995,183.750000,136.208450,1278400
2016-12-08,182.399994,185.139999,180.449997,183.660004,136.141754,1196100
2016-12-09,183.750000,185.160004,182.779999,183.429993,135.971207,974800
2016-12-12,182.970001,186.380005,182.720001,186.119995,137.965256,1066900
2016-12-13,186.910004,187.690002,184.059998,187.429993,138.936325,1566000
2016-12-14,187.160004,187.610001,180.990005,181.279999,134.377548,2093400
2016-12-15,181.389999,182.179993,179.449997,180.000000,133.428696,1533700
2016-12-16,181.449997,182.869995,179.820007,181.289993,134.384918,1975400
